keyword,period,type,detail
PDRN,2025-06-23,spike,10.4→19.8 (+90%)
PDRN,2025-11-10,spike,15.4→100.0 (+548%)
PDRN,2026-03-23,spike,12.4→36.1 (+191%)
갈락토미세스,2025-12-01,spike,35.3→100.0 (+184%)
두피 앰플,2024-03-11,spike,39.6→72.4 (+83%)
레티날,2024-10-14,spike,33.2→63.8 (+92%)
립 틴트,2025-12-01,spike,39.4→100.0 (+154%)
마이크로바이옴 화장품,2023-08-21,spike,17.9→55.9 (+212%)
마이크로바이옴 화장품,2023-09-11,spike,20.7→38.6 (+87%)
마이크로바이옴 화장품,2023-10-09,spike,9.7→22.1 (+129%)
마이크로바이옴 화장품,2023-10-16,spike,22.1→47.6 (+116%)
마이크로바이옴 화장품,2023-11-27,spike,19.3→39.3 (+104%)
마이크로바이옴 화장품,2024-01-08,spike,13.1→25.5 (+95%)
마이크로바이옴 화장품,2024-02-12,spike,16.6→33.8 (+104%)
마이크로바이옴 화장품,2024-03-04,spike,20.0→37.2 (+86%)
마이크로바이옴 화장품,2024-06-24,spike,20.0→3.4 (-83%)
마이크로바이옴 화장품,2024-07-15,spike,7.6→24.1 (+218%)
마이크로바이옴 화장품,2024-08-05,spike,31.0→5.5 (-82%)
마이크로바이옴 화장품,2024-08-12,spike,5.5→16.6 (+200%)
마이크로바이옴 화장품,2024-09-16,spike,31.7→62.8 (+98%)
마이크로바이옴 화장품,2024-10-14,spike,17.9→33.1 (+85%)
마이크로바이옴 화장품,2025-01-27,spike,17.9→0.0 (-100%)
마이크로바이옴 화장품,2025-03-17,spike,17.9→44.8 (+150%)
마이크로바이옴 화장품,2025-08-18,spike,26.2→55.9 (+113%)
마이크로바이옴 화장품,2025-10-06,spike,29.0→57.2 (+98%)
마이크로바이옴 화장품,2025-12-22,spike,9.7→0.0 (-100%)
마이크로바이옴 화장품,2026-02-09,spike,7.6→0.0 (-100%)
마이크로바이옴 화장품,2026-03-16,spike,21.4→4.1 (-81%)
마이크로바이옴 화장품,2026-04-06,spike,5.5→0.0 (-100%)
마이크로바이옴 화장품,2026-04-27,spike,15.2→0.0 (-100%)
비타민C 세럼,2025-10-27,spike,24.1→100.0 (+315%)
선세럼,2023-10-16,spike,11.2→21.1 (+89%)
선세럼,2025-10-20,spike,21.4→49.1 (+129%)
선세럼,2025-12-01,spike,53.2→100.0 (+88%)
선세럼,2026-01-12,spike,24.8→69.3 (+180%)
세럼 파운데이션,2025-11-17,spike,6.5→47.4 (+626%)
세럼 파운데이션,2025-11-24,spike,47.4→100.0 (+111%)
속건조,2023-10-02,spike,33.1→79.1 (+139%)
속건조,2025-10-13,spike,20.0→37.8 (+89%)
스틱 선크림,2024-02-12,spike,7.9→15.6 (+97%)
슬리핑 마스크,2023-07-24,spike,6.0→13.9 (+134%)
슬리핑 마스크,2025-06-30,spike,7.2→100.0 (+1296%)
슬리핑 마스크,2025-07-14,spike,62.4→7.2 (-88%)
쑥 토너,2023-07-10,spike,29.3→0.0 (-100%)
쑥 토너,2023-08-28,spike,31.0→87.9 (+183%)
쑥 토너,2023-11-13,spike,46.6→8.6 (-81%)
쑥 토너,2023-11-20,spike,8.6→20.7 (+140%)
쑥 토너,2023-12-25,spike,12.1→29.3 (+143%)
쑥 토너,2024-01-15,spike,13.8→43.1 (+213%)
쑥 토너,2024-01-22,spike,43.1→8.6 (-80%)
쑥 토너,2024-01-29,spike,8.6→0.0 (-100%)
쑥 토너,2024-02-19,spike,10.3→31.0 (+200%)
쑥 토너,2024-03-11,spike,8.6→31.0 (+260%)
쑥 토너,2024-03-25,spike,17.2→0.0 (-100%)
쑥 토너,2024-05-06,spike,55.2→8.6 (-84%)
쑥 토너,2024-05-13,spike,8.6→50.0 (+480%)
쑥 토너,2024-06-03,spike,36.2→93.1 (+157%)
쑥 토너,2024-07-08,spike,8.6→0.0 (-100%)
쑥 토너,2024-08-05,spike,8.6→22.4 (+160%)
쑥 토너,2024-08-19,spike,20.7→43.1 (+108%)
쑥 토너,2024-09-09,spike,12.1→0.0 (-100%)
쑥 토너,2024-11-04,spike,12.1→32.8 (+171%)
쑥 토너,2024-11-11,spike,32.8→0.0 (-100%)
쑥 토너,2024-11-25,spike,8.6→17.2 (+100%)
쑥 토너,2024-12-16,spike,19.0→0.0 (-100%)
쑥 토너,2025-01-13,spike,8.6→34.5 (+300%)
쑥 토너,2025-01-20,spike,34.5→0.0 (-100%)
쑥 토너,2025-02-10,spike,10.3→0.0 (-100%)
쑥 토너,2025-03-10,spike,25.9→0.0 (-100%)
쑥 토너,2025-03-31,spike,8.6→34.5 (+300%)
쑥 토너,2025-04-28,spike,19.0→0.0 (-100%)
쑥 토너,2025-05-19,spike,8.6→31.0 (+260%)
쑥 토너,2025-06-09,spike,43.1→0.0 (-100%)
쑥 토너,2025-07-07,spike,41.4→0.0 (-100%)
쑥 토너,2025-07-21,spike,8.6→0.0 (-100%)
쑥 토너,2025-08-11,spike,46.6→0.0 (-100%)
쑥 토너,2025-09-08,spike,39.7→0.0 (-100%)
쑥 토너,2025-09-22,spike,22.4→0.0 (-100%)
쑥 토너,2025-10-27,spike,8.6→19.0 (+120%)
쑥 토너,2025-11-24,spike,17.2→0.0 (-100%)
쑥 토너,2025-12-15,spike,20.7→0.0 (-100%)
쑥 토너,2026-01-05,spike,8.6→17.2 (+100%)
쑥 토너,2026-01-26,spike,8.6→25.9 (+200%)
쑥 토너,2026-02-16,spike,10.3→0.0 (-100%)
쑥 토너,2026-03-16,spike,10.3→0.0 (-100%)
쑥 토너,2026-04-13,spike,10.3→0.0 (-100%)
쑥 토너,2026-04-27,spike,29.3→0.0 (-100%)
쑥 토너,2026-05-11,spike,27.6→55.2 (+100%)
쑥 토너,2026-05-25,spike,19.0→0.0 (-100%)
쑥 토너,2026-06-08,spike,10.3→19.0 (+83%)
아스타잔틴,2023-08-21,spike,30.0→54.6 (+82%)
아스타잔틴,2024-02-12,spike,15.7→31.3 (+99%)
아스타잔틴,2025-02-03,spike,38.6→73.8 (+91%)
아스타잔틴,2025-04-28,spike,25.0→54.4 (+118%)
아스타잔틴,2025-11-03,spike,22.8→46.5 (+103%)
아스타잔틴,2026-03-02,spike,22.1→50.1 (+126%)
아젤라익애씨드,2024-07-22,spike,6.3→59.3 (+841%)
아젤라익애씨드,2024-07-29,spike,59.3→11.0 (-81%)
아젤라익애씨드,2024-08-26,spike,6.1→12.1 (+97%)
아젤라익애씨드,2025-01-06,spike,7.6→14.9 (+96%)
아젤라익애씨드,2025-02-03,spike,7.1→14.4 (+102%)
아젤라익애씨드,2025-04-28,spike,15.7→28.8 (+84%)
아젤라익애씨드,2025-08-04,spike,26.8→62.7 (+134%)
아젤라익애씨드,2023-10-23,zero_run_8w,~2023-10-23까지 8주+ 연속 0
엑토인,2023-08-21,spike,25.7→65.2 (+154%)
엑토인,2023-10-09,spike,28.3→68.9 (+143%)
엑토인,2024-02-19,spike,32.0→57.8 (+81%)
엑토인,2025-10-13,spike,8.9→17.2 (+95%)
엑토인,2026-01-19,spike,13.1→32.1 (+146%)
잡티,2023-10-02,spike,36.9→66.4 (+80%)
트라넥삼산,2024-01-08,spike,14.7→86.3 (+487%)
트라넥삼산,2024-01-29,spike,16.3→30.1 (+84%)
트라넥삼산,2024-02-19,spike,16.3→94.9 (+482%)
트라넥삼산,2024-03-04,spike,22.3→63.7 (+185%)
트라넥삼산,2024-03-18,spike,36.3→65.9 (+81%)
트라넥삼산,2024-04-15,spike,20.4→67.8 (+233%)
트라넥삼산,2024-05-13,spike,18.8→91.2 (+384%)
트라넥삼산,2024-05-27,spike,40.7→78.6 (+93%)
트라넥삼산,2024-08-12,spike,20.2→58.9 (+191%)
트라넥삼산,2024-09-02,spike,18.5→88.8 (+379%)
트라넥삼산,2024-10-07,spike,11.4→37.2 (+227%)
트라넥삼산,2024-12-09,spike,12.6→46.0 (+266%)
트라넥삼산,2025-01-20,spike,25.1→66.3 (+164%)
트라넥삼산,2025-02-24,spike,19.1→90.0 (+371%)
트라넥삼산,2025-04-21,spike,20.1→49.7 (+147%)
트라넥삼산,2025-05-05,spike,28.1→56.1 (+100%)
트라넥삼산,2025-05-26,spike,22.8→54.5 (+139%)
트라넥삼산,2025-06-09,spike,26.5→97.4 (+268%)
트라넥삼산,2025-07-21,spike,16.6→40.2 (+142%)
트라넥삼산,2025-09-08,spike,22.5→49.1 (+118%)
트라넥삼산,2025-12-29,spike,25.8→80.2 (+211%)
펩타이드,2025-11-24,spike,37.2→82.7 (+122%)
펩타이드,2026-05-25,spike,48.0→100.0 (+108%)
피지 조절,2026-05-11,spike,8.2→17.9 (+117%)
피지 조절,2026-05-25,spike,10.7→21.8 (+103%)
홍조,2025-10-27,spike,33.2→62.2 (+87%)
히알루론산,2023-12-25,spike,41.7→88.2 (+111%)
히알루론산,2024-08-05,spike,33.2→60.4 (+82%)
히알루론산,2024-12-23,spike,41.9→100.0 (+139%)
