keyword,period,ratio
PDRN,2023-07-03,2.84462
PDRN,2023-07-10,3.37646
PDRN,2023-07-17,3.11803
PDRN,2023-07-24,3.17796
PDRN,2023-07-31,3.27721
PDRN,2023-08-07,3.11616
PDRN,2023-08-14,2.81091
PDRN,2023-08-21,3.30155
PDRN,2023-08-28,3.2229
PDRN,2023-09-04,3.16298
PDRN,2023-09-11,3.57122
PDRN,2023-09-18,3.48133
PDRN,2023-09-25,2.52813
PDRN,2023-10-02,3.03751
PDRN,2023-10-09,2.96634
PDRN,2023-10-16,3.46635
PDRN,2023-10-23,3.52066
PDRN,2023-10-30,3.14987
PDRN,2023-11-06,3.44201
PDRN,2023-11-13,3.53751
PDRN,2023-11-20,4.06749
PDRN,2023-11-27,3.43826
PDRN,2023-12-04,3.13676
PDRN,2023-12-11,2.92327
PDRN,2023-12-18,2.89331
PDRN,2023-12-25,2.82964
PDRN,2024-01-01,8.11063
PDRN,2024-01-08,7.80538
PDRN,2024-01-15,8.88031
PDRN,2024-01-22,10.70993
PDRN,2024-01-29,9.35972
PDRN,2024-02-05,6.82971
PDRN,2024-02-12,8.30165
PDRN,2024-02-19,9.15372
PDRN,2024-02-26,8.5657
PDRN,2024-03-04,8.98331
PDRN,2024-03-11,9.24549
PDRN,2024-03-18,9.06009
PDRN,2024-03-25,11.40845
PDRN,2024-04-01,12.31296
PDRN,2024-04-08,10.7942
PDRN,2024-04-15,8.74548
PDRN,2024-04-22,9.23238
PDRN,2024-04-29,8.6069
PDRN,2024-05-06,9.29043
PDRN,2024-05-13,8.2773
PDRN,2024-05-20,8.17243
PDRN,2024-05-27,8.17243
PDRN,2024-06-03,6.9608
PDRN,2024-06-10,7.18552
PDRN,2024-06-17,7.80164
PDRN,2024-06-24,7.21549
PDRN,2024-07-01,7.56755
PDRN,2024-07-08,7.04133
PDRN,2024-07-15,8.04883
PDRN,2024-07-22,7.68928
PDRN,2024-07-29,7.49264
PDRN,2024-08-05,7.74171
PDRN,2024-08-12,7.46455
PDRN,2024-08-19,7.78666
PDRN,2024-08-26,7.56943
PDRN,2024-09-02,8.10314
PDRN,2024-09-09,10.07134
PDRN,2024-09-16,7.42335
PDRN,2024-09-23,8.93836
PDRN,2024-09-30,8.22487
PDRN,2024-10-07,8.30352
PDRN,2024-10-14,8.00951
PDRN,2024-10-21,7.63497
PDRN,2024-10-28,8.79604
PDRN,2024-11-04,10.66873
PDRN,2024-11-11,10.62566
PDRN,2024-11-18,10.51892
PDRN,2024-11-25,9.79419
PDRN,2024-12-02,11.03578
PDRN,2024-12-09,11.03765
PDRN,2024-12-16,10.07696
PDRN,2024-12-23,8.98331
PDRN,2024-12-30,10.10318
PDRN,2025-01-06,13.49276
PDRN,2025-01-13,17.90108
PDRN,2025-01-20,14.76993
PDRN,2025-01-27,14.88042
PDRN,2025-02-03,16.3636
PDRN,2025-02-10,15.24373
PDRN,2025-02-17,13.23994
PDRN,2025-02-24,14.62386
PDRN,2025-03-03,15.37481
PDRN,2025-03-10,12.47776
PDRN,2025-03-17,11.65752
PDRN,2025-03-24,11.96089
PDRN,2025-03-31,13.07702
PDRN,2025-04-07,15.14447
PDRN,2025-04-14,16.0958
PDRN,2025-04-21,22.10341
PDRN,2025-04-28,11.7755
PDRN,2025-05-05,11.47774
PDRN,2025-05-12,13.9628
PDRN,2025-05-19,15.10702
PDRN,2025-05-26,14.38416
PDRN,2025-06-02,11.83355
PDRN,2025-06-09,10.77548
PDRN,2025-06-16,10.40094
PDRN,2025-06-23,19.80748
PDRN,2025-06-30,11.43279
PDRN,2025-07-07,10.59195
PDRN,2025-07-14,9.10691
PDRN,2025-07-21,9.92527
PDRN,2025-07-28,11.75677
PDRN,2025-08-04,11.53579
PDRN,2025-08-11,11.41032
