keyword,period,count
PDRN,2023-07-03,0
PDRN,2023-07-10,0
PDRN,2023-07-17,0
PDRN,2023-07-24,0
PDRN,2023-07-31,0
PDRN,2023-08-07,0
PDRN,2023-08-14,0
PDRN,2023-08-21,0
PDRN,2023-08-28,0
PDRN,2023-09-04,0
PDRN,2023-09-11,0
PDRN,2023-09-18,0
PDRN,2023-09-25,0
PDRN,2023-10-02,0
PDRN,2023-10-09,0
PDRN,2023-10-16,0
PDRN,2023-10-23,0
PDRN,2023-10-30,0
PDRN,2023-11-06,0
PDRN,2023-11-13,0
PDRN,2023-11-20,0
PDRN,2023-11-27,0
PDRN,2023-12-04,0
PDRN,2023-12-11,0
PDRN,2023-12-18,0
PDRN,2023-12-25,0
PDRN,2024-01-01,0
PDRN,2024-01-08,0
PDRN,2024-01-15,0
PDRN,2024-01-22,0
PDRN,2024-01-29,0
PDRN,2024-02-05,0
PDRN,2024-02-12,0
PDRN,2024-02-19,0
PDRN,2024-02-26,0
PDRN,2024-03-04,0
PDRN,2024-03-11,0
PDRN,2024-03-18,0
PDRN,2024-03-25,0
PDRN,2024-04-01,0
PDRN,2024-04-08,0
PDRN,2024-04-15,3
PDRN,2024-04-22,0
PDRN,2024-04-29,0
PDRN,2024-05-06,0
PDRN,2024-05-13,0
PDRN,2024-05-20,13
PDRN,2024-05-27,0
PDRN,2024-06-03,0
PDRN,2024-06-10,6
PDRN,2024-06-17,0
PDRN,2024-06-24,0
PDRN,2024-07-01,0
PDRN,2024-07-08,0
PDRN,2024-07-15,15
PDRN,2024-07-22,0
PDRN,2024-07-29,9
PDRN,2024-08-05,1
PDRN,2024-08-12,0
PDRN,2024-08-19,0
PDRN,2024-08-26,1
PDRN,2024-09-02,1
PDRN,2024-09-09,3
PDRN,2024-09-16,0
PDRN,2024-09-23,0
PDRN,2024-09-30,5
PDRN,2024-10-07,14
PDRN,2024-10-14,1
PDRN,2024-10-21,6
PDRN,2024-10-28,3
PDRN,2024-11-04,22
PDRN,2024-11-11,2
PDRN,2024-11-18,5
PDRN,2024-11-25,2
PDRN,2024-12-02,1
PDRN,2024-12-09,4
PDRN,2024-12-16,6
PDRN,2024-12-23,0
PDRN,2024-12-30,0
PDRN,2025-01-06,4
PDRN,2025-01-13,9
PDRN,2025-01-20,0
PDRN,2025-01-27,0
PDRN,2025-02-03,3
PDRN,2025-02-10,13
PDRN,2025-02-17,0
PDRN,2025-02-24,7
PDRN,2025-03-03,8
PDRN,2025-03-10,2
PDRN,2025-03-17,6
PDRN,2025-03-24,3
PDRN,2025-03-31,0
PDRN,2025-04-07,1
PDRN,2025-04-14,13
PDRN,2025-04-21,8
PDRN,2025-04-28,6
PDRN,2025-05-05,0
PDRN,2025-05-12,11
PDRN,2025-05-19,2
PDRN,2025-05-26,24
PDRN,2025-06-02,2
PDRN,2025-06-09,1
PDRN,2025-06-16,0
PDRN,2025-06-23,2
PDRN,2025-06-30,1
PDRN,2025-07-07,4
PDRN,2025-07-14,8
PDRN,2025-07-21,8
PDRN,2025-07-28,0
PDRN,2025-08-04,22
PDRN,2025-08-11,2
PDRN,2025-08-18,0
PDRN,2025-08-25,10
PDRN,2025-09-01,2
PDRN,2025-09-08,7
PDRN,2025-09-15,11
PDRN,2025-09-22,4
PDRN,2025-09-29,7
PDRN,2025-10-06,3
PDRN,2025-10-13,9
PDRN,2025-10-20,2
PDRN,2025-10-27,11
PDRN,2025-11-03,23
PDRN,2025-11-10,17
PDRN,2025-11-17,13
PDRN,2025-11-24,8
PDRN,2025-12-01,3
PDRN,2025-12-08,20
PDRN,2025-12-15,16
PDRN,2025-12-22,8
PDRN,2025-12-29,3
PDRN,2026-01-05,3
PDRN,2026-01-12,4
PDRN,2026-01-19,6
PDRN,2026-01-26,0
PDRN,2026-02-02,6
PDRN,2026-02-09,40
PDRN,2026-02-16,3
PDRN,2026-02-23,0
PDRN,2026-03-02,16
PDRN,2026-03-09,14
PDRN,2026-03-16,43
PDRN,2026-03-23,5
PDRN,2026-03-30,16
PDRN,2026-04-06,8
PDRN,2026-04-13,4
PDRN,2026-04-20,8
PDRN,2026-04-27,12
PDRN,2026-05-04,22
PDRN,2026-05-11,4
PDRN,2026-05-18,16
PDRN,2026-05-25,7
PDRN,2026-06-01,5
PDRN,2026-06-08,3
PDRN,2026-06-15,3
PDRN,2026-06-22,0
엑소좀,2023-07-03,0
엑소좀,2023-07-10,0
엑소좀,2023-07-17,0
엑소좀,2023-07-24,0
엑소좀,2023-07-31,0
엑소좀,2023-08-07,0
엑소좀,2023-08-14,0
엑소좀,2023-08-21,0
엑소좀,2023-08-28,0
엑소좀,2023-09-04,0
엑소좀,2023-09-11,0
엑소좀,2023-09-18,0
엑소좀,2023-09-25,0
엑소좀,2023-10-02,0
엑소좀,2023-10-09,0
엑소좀,2023-10-16,0
엑소좀,2023-10-23,0
엑소좀,2023-10-30,0
엑소좀,2023-11-06,0
엑소좀,2023-11-13,0
엑소좀,2023-11-20,0
엑소좀,2023-11-27,0
엑소좀,2023-12-04,0
엑소좀,2023-12-11,0
엑소좀,2023-12-18,0
엑소좀,2023-12-25,0
엑소좀,2024-01-01,0
엑소좀,2024-01-08,0
엑소좀,2024-01-15,0
엑소좀,2024-01-22,0
엑소좀,2024-01-29,0
