keyword,period,ratio
쑥 토너,2023-07-03,29.31034
쑥 토너,2023-07-17,41.37931
쑥 토너,2023-07-24,18.96551
쑥 토너,2023-07-31,29.31034
쑥 토너,2023-08-07,24.13793
쑥 토너,2023-08-14,20.68965
쑥 토너,2023-08-21,31.03448
쑥 토너,2023-08-28,87.93103
쑥 토너,2023-09-04,53.44827
쑥 토너,2023-09-11,22.41379
쑥 토너,2023-09-18,12.06896
쑥 토너,2023-09-25,12.06896
쑥 토너,2023-10-02,17.24137
쑥 토너,2023-10-09,15.51724
쑥 토너,2023-10-16,25.86206
쑥 토너,2023-10-23,20.68965
쑥 토너,2023-10-30,36.20689
쑥 토너,2023-11-06,46.55172
쑥 토너,2023-11-13,8.62068
쑥 토너,2023-11-20,20.68965
쑥 토너,2023-11-27,34.48275
쑥 토너,2023-12-04,37.93103
쑥 토너,2023-12-11,10.34482
쑥 토너,2023-12-18,12.06896
쑥 토너,2023-12-25,29.31034
쑥 토너,2024-01-01,18.96551
쑥 토너,2024-01-08,13.7931
쑥 토너,2024-01-15,43.10344
쑥 토너,2024-01-22,8.62068
쑥 토너,2024-02-05,41.37931
쑥 토너,2024-02-12,10.34482
쑥 토너,2024-02-19,31.03448
쑥 토너,2024-02-26,13.7931
쑥 토너,2024-03-04,8.62068
쑥 토너,2024-03-11,31.03448
쑥 토너,2024-03-18,17.24137
쑥 토너,2024-04-08,43.10344
쑥 토너,2024-04-15,67.24137
쑥 토너,2024-04-22,51.72413
쑥 토너,2024-04-29,55.17241
쑥 토너,2024-05-06,8.62068
쑥 토너,2024-05-13,50.0
쑥 토너,2024-05-20,25.86206
쑥 토너,2024-05-27,36.20689
쑥 토너,2024-06-03,93.10344
쑥 토너,2024-06-10,100.0
쑥 토너,2024-06-17,32.75862
쑥 토너,2024-06-24,13.7931
쑥 토너,2024-07-01,8.62068
쑥 토너,2024-07-15,37.93103
쑥 토너,2024-07-22,24.13793
쑥 토너,2024-07-29,8.62068
쑥 토너,2024-08-05,22.41379
쑥 토너,2024-08-12,20.68965
쑥 토너,2024-08-19,43.10344
쑥 토너,2024-08-26,39.65517
쑥 토너,2024-09-02,12.06896
쑥 토너,2024-09-23,10.34482
쑥 토너,2024-09-30,8.62068
쑥 토너,2024-10-07,8.62068
쑥 토너,2024-10-14,10.34482
쑥 토너,2024-10-21,8.62068
쑥 토너,2024-10-28,12.06896
쑥 토너,2024-11-04,32.75862
쑥 토너,2024-11-18,8.62068
쑥 토너,2024-11-25,17.24137
쑥 토너,2024-12-02,20.68965
쑥 토너,2024-12-09,18.96551
쑥 토너,2024-12-30,22.41379
쑥 토너,2025-01-06,8.62068
쑥 토너,2025-01-13,34.48275
쑥 토너,2025-02-03,10.34482
쑥 토너,2025-02-24,20.68965
쑥 토너,2025-03-03,25.86206
쑥 토너,2025-03-17,12.06896
쑥 토너,2025-03-24,8.62068
쑥 토너,2025-03-31,34.48275
쑥 토너,2025-04-07,31.03448
쑥 토너,2025-04-14,22.41379
쑥 토너,2025-04-21,18.96551
쑥 토너,2025-05-05,12.06896
쑥 토너,2025-05-12,8.62068
쑥 토너,2025-05-19,31.03448
쑥 토너,2025-05-26,24.13793
쑥 토너,2025-06-02,43.10344
쑥 토너,2025-06-30,41.37931
쑥 토너,2025-07-14,8.62068
쑥 토너,2025-07-28,36.20689
쑥 토너,2025-08-04,46.55172
쑥 토너,2025-08-18,18.96551
쑥 토너,2025-08-25,22.41379
쑥 토너,2025-09-01,39.65517
쑥 토너,2025-09-15,22.41379
쑥 토너,2025-10-06,8.62068
쑥 토너,2025-10-13,8.62068
쑥 토너,2025-10-20,8.62068
쑥 토너,2025-10-27,18.96551
쑥 토너,2025-11-03,20.68965
쑥 토너,2025-11-10,29.31034
쑥 토너,2025-11-17,17.24137
쑥 토너,2025-12-01,24.13793
쑥 토너,2025-12-08,20.68965
쑥 토너,2025-12-29,8.62068
쑥 토너,2026-01-05,17.24137
쑥 토너,2026-01-12,20.68965
쑥 토너,2026-01-19,8.62068
쑥 토너,2026-01-26,25.86206
쑥 토너,2026-02-02,29.31034
쑥 토너,2026-02-09,10.34482
쑥 토너,2026-02-23,24.13793
쑥 토너,2026-03-02,20.68965
쑥 토너,2026-03-09,10.34482
쑥 토너,2026-03-23,27.5862
쑥 토너,2026-03-30,10.34482
쑥 토너,2026-04-06,10.34482
쑥 토너,2026-04-20,29.31034
쑥 토너,2026-05-04,27.5862
쑥 토너,2026-05-11,55.17241
쑥 토너,2026-05-18,18.96551
쑥 토너,2026-06-01,10.34482
쑥 토너,2026-06-08,18.96551
쑥 토너,2026-06-15,8.62068
쑥 토너,2026-06-22,8.62068
