category,period,ratio
스킨케어,2023-07-03,73.3605
스킨케어,2023-07-10,70.80988
스킨케어,2023-07-17,66.16325
스킨케어,2023-07-24,66.13474
스킨케어,2023-07-31,71.77266
스킨케어,2023-08-07,74.22608
스킨케어,2023-08-14,75.98557
스킨케어,2023-08-21,77.79957
스킨케어,2023-08-28,84.79635
스킨케어,2023-09-04,85.38829
스킨케어,2023-09-11,81.21967
스킨케어,2023-09-18,80.27613
스킨케어,2023-09-25,65.71524
스킨케어,2023-10-02,94.22882
스킨케어,2023-10-09,93.37753
스킨케어,2023-10-16,88.51888
스킨케어,2023-10-23,85.25113
스킨케어,2023-10-30,89.60704
스킨케어,2023-11-06,91.03129
스킨케어,2023-11-13,98.20125
스킨케어,2023-11-20,95.24592
스킨케어,2023-11-27,100.0
스킨케어,2023-12-04,96.72987
스킨케어,2023-12-11,81.43419
스킨케어,2023-12-18,78.89009
스킨케어,2023-12-25,79.4937
스킨케어,2024-01-01,90.62787
스킨케어,2024-01-08,87.65395
스킨케어,2024-01-15,83.34244
스킨케어,2024-01-22,86.21974
스킨케어,2024-01-29,86.49746
스킨케어,2024-02-05,71.5657
스킨케어,2024-02-12,85.16246
스킨케어,2024-02-19,80.38253
스킨케어,2024-02-26,78.63439
스킨케어,2024-03-04,77.85361
스킨케어,2024-03-11,71.56961
스킨케어,2024-03-18,72.20986
스킨케어,2024-03-25,68.43858
스킨케어,2024-04-01,67.32833
스킨케어,2024-04-08,67.39566
스킨케어,2024-04-15,67.27533
스킨케어,2024-04-22,65.74808
스킨케어,2024-04-29,68.25536
스킨케어,2024-05-06,70.55297
스킨케어,2024-05-13,70.57728
스킨케어,2024-05-20,65.78862
스킨케어,2024-05-27,66.12203
스킨케어,2024-06-03,62.79325
스킨케어,2024-06-10,55.40597
스킨케어,2024-06-17,49.70098
스킨케어,2024-06-24,54.19971
스킨케어,2024-07-01,65.68931
스킨케어,2024-07-08,56.83943
스킨케어,2024-07-15,56.34511
스킨케어,2024-07-22,53.33692
스킨케어,2024-07-29,51.69246
스킨케어,2024-08-05,55.21635
스킨케어,2024-08-12,58.36854
스킨케어,2024-08-19,61.12454
스킨케어,2024-08-26,65.56024
스킨케어,2024-09-02,66.87204
스킨케어,2024-09-09,53.76094
스킨케어,2024-09-16,58.40686
스킨케어,2024-09-23,62.26709
